split,class,objects,object_pct,images,image_pct,median_area_pct,median_aspect_w_h
train,person,5829,54.77353880849464,2753,36.70666666666666,10.417066666666667,0.5910543130990416
train,car,1339,12.58222138695734,777,10.36,3.9648000000000003,1.5862068965517242
train,dog,1028,9.659838376245066,862,11.493333333333334,30.497866666666667,1.0418543543543544
train,cat,833,7.827476038338658,738,9.84,45.448,1.157706093189964
train,chair,1613,15.156925389964293,754,10.053333333333333,6.395195195195195,0.7715877437325905
val,person,1074,53.14200890648194,537,35.8,11.16313452685422,0.5909090909090909
val,car,283,14.002968827313211,159,10.6,3.547774480712166,1.6310679611650485
val,dog,206,10.192973775358734,174,11.6,33.224930938123755,1.0032229027852502
val,cat,176,8.708560118753093,154,10.266666666666667,47.608710517746665,1.0439426071339868
val,chair,282,13.953488372093023,153,10.2,8.234493756003843,0.733500837520938
